name,tech,cat,size,Latitude,Longitude,state_abbr,unit,size_perc,size_perc_scurve
Africa Data Centres,Colocation Datacenter,Datacenter,22.77,-26.009973,28.119703,NA,MW,0.02478378217225731,0.754950710045445
AtlasEdge Data Centres,Colocation Datacenter,Datacenter,2.178,41.3493844435993,2.13857833816348,NA,MW,0.0023699729669346024,0.5531706683215084
Cellnex Telecom,Colocation Datacenter,Datacenter,0.198,52.1367460380476,4.64718147356325,NA,MW,2.1479900488434258e-4,0.2853188752906802
AtlasEdge Data Centres,Colocation Datacenter,Datacenter,0.99,51.5243410530347,-0.079262561610705,NA,MW,0.0010768685897044467,0.46920446292403056
AtlasEdge Data Centres,Colocation Datacenter,Datacenter,2.178,48.897118589561,2.32184133511941,NA,MW,0.0023699729669346024,0.5531706683215084
Previder,Colocation Datacenter,Datacenter,0.0792,51.5791277406563,4.92925352887016,NA,MW,8.548856716132698e-5,0.22301369796723533
Colt DCS,Colocation Datacenter,Datacenter,21.12,51.79986,-0.18354,NA,MW,0.022987803870548756,0.7478184255115174
Rack Centre,Colocation Datacenter,Datacenter,9.57,6.597781,3.373237,NA,MW,0.010415955758588908,0.6827911813630458
Cellnex Telecom,Colocation Datacenter,Datacenter,0.066,50.831989,5.925802,NA,MW,7.112074074765859e-5,0.1721534085159869
Cellnex Telecom,Colocation Datacenter,Datacenter,0.099,51.52625,5.704314,NA,MW,1.0704030678182957e-4,0.23061307124173125
Luxconnect,Colocation Datacenter,Datacenter,4.356,49.5058257115216,6.11249725650406,NA,MW,0.004740664325189888,0.6123018693704554
Luxconnect,Colocation Datacenter,Datacenter,2.3496,49.505071674783,6.11205034727453,NA,MW,0.002556754710312292,0.5596179188363859
AtlasEdge Data Centres,Colocation Datacenter,Datacenter,1.6500000000000001,47.3940794198745,8.47349287935867,NA,MW,0.0017952599103878667,0.5253577947705927
Luxconnect,Colocation Datacenter,Datacenter,5.5440000000000005,49.7875485648662,6.08962347433104,NA,MW,0.006033768702420045,0.6324565788051981
Cellnex Telecom,Colocation Datacenter,Datacenter,0.066,52.3881560393802,4.66967371503912,NA,MW,7.112074074765859e-5,0.1721534085159869
Aruba.it,Colocation Datacenter,Datacenter,19.8,41.930051,12.630637,NA,MW,0.021551021229181917,0.742365222627286
AtlasEdge Data Centres,Colocation Datacenter,Datacenter,1.1880000000000002,55.647623,12.540049,NA,MW,0.0012923859859094728,0.49273851559360243
AtlasEdge Data Centres,Colocation Datacenter,Datacenter,3.4650000000000003,52.52732,13.318519,NA,MW,0.0037708360422672713,0.5963017839021599
Redwire DC,Colocation Datacenter,Datacenter,1.98,51.512942,-0.309978,NA,MW,0.002154455570729577,0.5378026804166678
Keppel Data Centres,Colocation Datacenter,Datacenter,4.356,53.291536,-6.416394,NA,MW,0.004740664325189888,0.6123018693704554
Colt DCS,Colocation Datacenter,Datacenter,1.584,50.12152,8.739734,NA,MW,0.0017234207783195247,0.5212325990682144
AtlasEdge Data Centres,Colocation Datacenter,Datacenter,2.3760000000000003,50.871956,4.504856,NA,MW,0.002585490363139629,0.559740115862271
Eurofiber Cloud Infra,Colocation Datacenter,Datacenter,1.1879999999999935,51.8458338917144,4.67923951667106,NA,MW,0.0012923859859094655,0.49203545034403606
Eurofiber Cloud Infra,Colocation Datacenter,Datacenter,0.495,51.6956611461996,5.03793324749861,NA,MW,5.380750991918815e-4,0.3964431014066308
Cellnex Telecom,Colocation Datacenter,Datacenter,0.264,52.52223,5.43743098330631,NA,MW,2.8663813695268463e-4,0.315989724875794
AtlasEdge Data Centres,Colocation Datacenter,Datacenter,0.99,40.4861840876969,-3.66490397595271,NA,MW,0.0010768685897044467,0.46920446292403056
Colt DCS,Colocation Datacenter,Datacenter,24.222,48.675434,2.197355,NA,MW,0.026364243077760835,0.7616149663395408
Keppel Data Centres,Colocation Datacenter,Datacenter,6.072,53.405971,-6.361129,NA,MW,0.00660848175896678,0.640195177219879
Colt DCS,Colocation Datacenter,Datacenter,7.523999999999935,51.531785,-0.25709,NA,MW,0.008188942664470233,0.6615139933427994
AtlasEdge Data Centres,Colocation Datacenter,Datacenter,0.9239999999999999,45.4952544804397,9.17859739551519,NA,MW,0.0010050294576361045,0.46624023411972476
Cellnex Telecom,Colocation Datacenter,Datacenter,0.528,52.3364995060925,4.88678378260928,NA,MW,5.739946652260526e-4,0.4001521973645303
Cellnex Telecom,Colocation Datacenter,Datacenter,0.7260000000000001,51.510803,3.884337,NA,MW,7.895120614310788e-4,0.45081672041396315
Cellnex Telecom,Colocation Datacenter,Datacenter,0.198,52.242555,5.164241,NA,MW,2.1479900488434258e-4,0.2853188752906802
Eurofiber Cloud Infra,Colocation Datacenter,Datacenter,0.66,51.9304469959043,4.4143381051771,NA,MW,7.176729293627365e-4,0.4155754666095678
Eurofiber Cloud Infra,Colocation Datacenter,Datacenter,1.98,53.2447514179027,6.52714057049536,NA,MW,0.002154455570729577,0.5378026804166678
Colt DCS,Colocation Datacenter,Datacenter,10.89,51.538779407045,4.50760001711085,NA,MW,0.011852738399955745,0.6941862602211482
Digital Realty,Colocation Datacenter,Datacenter,4.29,52.2805508519011,4.75499790701886,NA,MW,0.004668825193121546,0.6108080250133169
STACK Infrastructure,Colocation Datacenter,Datacenter,1.32,59.822004,10.787007,NA,MW,0.0014360642500461567,0.49707249917727087
Previder,Colocation Datacenter,Datacenter,1.122,52.244093,6.767285,NA,MW,0.0012205468538411307,0.48922216070846786
Digital Realty,Colocation Datacenter,Datacenter,0.198,52.400078,4.842283,NA,MW,2.1479900488434258e-4,0.2853188752906802
Equinix,Colocation Datacenter,Datacenter,1.683,52.48857,6.142632,NA,MW,0.0018311794764220375,0.5319804155400691
NorthC,Colocation Datacenter,Datacenter,10.824,52.364302,5.267949,NA,MW,0.011780899267887402,0.6938213003323521
ITB2,Colocation Datacenter,Datacenter,0.2442,52.238773,6.195037,NA,MW,2.6508639733218196e-4,0.3144128728922077
Equinix,Colocation Datacenter,Datacenter,6.336,52.293528,4.945097,NA,MW,0.006895838287240149,0.6416773642125759
Iron Mountain,Colocation Datacenter,Datacenter,14.982000000000001,52.391388,4.66541,NA,MW,0.01630676458819295,0.7226952562872672
Digital Realty,Colocation Datacenter,Datacenter,9.372,52.281475,4.765011,NA,MW,0.01020043836238388,0.6817512700947101
Nikhef,Self-build Datacenter,Datacenter,0.33,52.3570995568473,4.95071439777763,NA,MW,3.584772690210266e-4,0.33446925260026933
Serverius,Colocation Datacenter,Datacenter,0.66,52.7177736463276,6.20051960653549,NA,MW,7.176729293627365e-4,0.4155754666095678
Equinix,Colocation Datacenter,Datacenter,11.154,52.354872,4.961383,NA,MW,0.012140094928229112,0.6962044254744828
NorthC,Colocation Datacenter,Datacenter,1.584,51.407569,5.458925,NA,MW,0.0017234207783195247,0.5212325990682144
NorthC,Colocation Datacenter,Datacenter,0.3168,51.875405016389,4.45008879886324,NA,MW,3.441094426073582e-4,0.3334959151540544
ITB2,Colocation Datacenter,Datacenter,1.089,52.2004418015132,6.02588176979033,NA,MW,0.0011846272878069596,0.4886358187223593
Equinix,Colocation Datacenter,Datacenter,6.930000000000001,52.300125,4.943142,NA,MW,0.007542390475855227,0.6564598479954593
InterConnect,Colocation Datacenter,Datacenter,2.64,51.4416678608544,5.387377,NA,MW,0.002872846891412997,0.5631704731174867
Eurofiber Cloud Infra,Colocation Datacenter,Datacenter,0.33,51.9870424889036,5.93396277478427,NA,MW,3.584772690210266e-4,0.33446925260026933
NorthC,Colocation Datacenter,Datacenter,3.168,52.292984,4.787219,NA,MW,0.003447559947959732,0.5832783197914386
Equinix,Colocation Datacenter,Datacenter,1.584,42.668532,23.395322,NA,MW,0.0017234207783195247,0.5212325990682144
Equinix,Colocation Datacenter,Datacenter,17.16,52.3539316551678,4.96121492293866,NA,MW,0.018677455946448235,0.7332636685184721
Systemec Data Centers,Colocation Datacenter,Datacenter,0.066,51.378576,6.158851,NA,MW,7.112074074765859e-5,0.1721534085159869
SmartDC,Colocation Datacenter,Datacenter,0.066,50.892502,5.971308,NA,MW,7.112074074765859e-5,0.1721534085159869
Previder,Colocation Datacenter,Datacenter,3.5640000000000005,52.2852786061585,6.76716924860826,NA,MW,0.0038785947403697845,0.5969562584597177
SmartDC,Colocation Datacenter,Datacenter,0.99,51.9238743559974,4.433456448035,NA,MW,0.0010768685897044467,0.46920446292403056
Equinix,Colocation Datacenter,Datacenter,9.24,52.300125,4.943142,NA,MW,0.010056760098247196,0.6772969633617073
Systemec Data Centers,Colocation Datacenter,Datacenter,0.0594,51.378453,6.15927,NA,MW,6.393682754082438e-5,0.17046160121121723
Penta Infra,Colocation Datacenter,Datacenter,0.198,53.1925404370246,5.76065762906924,NA,MW,2.1479900488434258e-4,0.2853188752906802
Equinix,Colocation Datacenter,Datacenter,13.1538,52.3029683862495,4.93851811191697,NA,MW,0.014316820629899876,0.7097087145547513
NorthC,Colocation Datacenter,Datacenter,1.32,53.207334,6.473909,NA,MW,0.0014360642500461567,0.49707249917727087
Equinix,Colocation Datacenter,Datacenter,1.32,52.236983111428,6.84964926795018,NA,MW,0.0014360642500461567,0.49707249917727087
Serverius,Colocation Datacenter,Datacenter,1.584,52.543911,5.705118,NA,MW,0.0017234207783195247,0.5212325990682144
Penta Infra,Colocation Datacenter,Datacenter,0.33,53.2047727208876,5.76476168699855,NA,MW,3.584772690210266e-4,0.33446925260026933
Eurofiber Cloud Infra,Colocation Datacenter,Datacenter,1.1879999999999935,52.1233579941977,5.14417611228467,NA,MW,0.0012923859859094655,0.49203545034403606
