State,City/Town,County,Feature Type,Value Type,Value,Citation,Comment,Updated Type,Updated Value,Updated Comment,Ordinance Year,Original Captured Date,New Capture Date,Update Status
Indiana,,Howard,Highway,Meters,15.24,Howard County Zoning Ordinance ,,,,,,,,
Indiana,,Howard,Property Line,Meters,30.48,Howard County Zoning Ordinance ,,,,,,,,
Indiana,,Howard,Structures,Meters,91.44,Howard County Zoning Ordinance ,,,,,,,,
Indiana,,Howard,Height,Meters,6.096,Howard County Zoning Ordinance ,,,,,,,,
Indiana,,Jay,Property Line,Meters,7.62,Jay County Zoning Ordinance ,,,,,,,,
Indiana,,Jay,Structures,Meters,45.72,Jay County Zoning Ordinance ,,,,,,,,
Indiana,,Jay,Roads,Meters,15.24,Jay County Zoning Ordinance ,,,,,,,,
Indiana,,Jay,Height,Meters,6.096,Jay County Zoning Ordinance ,,,,,,,,
Indiana,,Jay,Sound,dBA,50,Jay County Zoning Ordinance ,,,,,,,,
Indiana,,Johnson,Property Line,Meters,45.72,Johnson County Zoning Ordinance Sec. 6-101-6 (K) ,,,,,,,,
Indiana,,Johnson,Roads,Meters,30.48,Johnson County Zoning Ordinance Sec. 6-101-6 (K) ,,,,,,,,
Indiana,,Johnson,Height,Meters,7.62,Johnson County Zoning Ordinance Sec. 6-101-6 (K) ,,,,,,,,
Indiana,,Johnson,Sound,dBA,50,Johnson County Zoning Ordinance Sec. 6-101-6 (K) ,,,,,,,,
Indiana,,Koscuisko,MInimum Lot Size,Acres,5,Koscuisko County Zoning Ordinance,,,,,,,,
Indiana,,Koscuisko,Roads,Meters,60.96,Koscuisko County Zoning Ordinance,,,,,,,,
Indiana,,Koscuisko,Property Line,Meters,60.96,Koscuisko County Zoning Ordinance,,,,,,,,
Indiana,,Koscuisko,Railroads,Meters,60.96,Koscuisko County Zoning Ordinance,,,,,,,,
Indiana,,Madison,Minimum Lot Size,Acres,5,Madison County Planning ,,,,,,,,
Indiana,,Marshall,Property Line,Meters,22.86,Marshall County Zoning Ordinance,,,,,,,,
Indiana,,Marshall,Structures,Meters,76.2,Marshall County Zoning Ordinance,,,,,,,,
Indiana,,Marshall,Height,Meters,4.57,Marshall County Zoning Ordinance,,,,,,,,
Indiana,,Miami,Property Line,Meters,45.72,Miami County Ordinance # 12-20-2021,,,,,,,,
Indiana,,Miami,Roads,Meters,30.48,Miami County Ordinance # 12-20-2021,,,,,,,,
Indiana,,Miami,Structures,Meters,60.96,Miami County Ordinance # 12-20-2021,,,,,,,,
Indiana,,Monroe ,Height,Meters,6.096,Monroe County Zoning Ordinance,,,,,,,,
Indiana,,Monroe ,Minimum Lot Size,Acres,5,Monroe County Zoning Ordinance,,,,,,,,
Indiana,,Montgomery,Property Line,Meters,9.14,Montgomery County section 13 solar farms and facilities  ,,,,,,,,
Indiana,,Montgomery,Roads,Meters,30.48,Montgomery County section 13 solar farms and facilities  ,,,,,,,,
Indiana,,Montgomery,Height,Meters,6.096,Montgomery County section 13 solar farms and facilities  ,,,,,,,,
Indiana,,Noble,Minimum Lot Size,Acres,5,Noble County Zoning Ordinance ,,,,,,,,
Indiana,,Noble,Height,Meters,4.57,Noble County Zoning Ordinance ,,,,,,,,
Indiana,,Noble,Sound,dBA,50,Noble County Zoning Ordinance ,,,,,,,,
Indiana,,Noble,Property Line,Meters,15.24,Noble County Zoning Ordinance ,,,,,,,,
Indiana,,Noble,Structures,Meters,91.44,Noble County Zoning Ordinance ,,,,,,,,
Indiana,,Porter ,Height,Meters,6.096,Porter County Zoning Ordinance ,,,,,,,,
Indiana,,Posey,Sound,dBA,45,Posey County Zoning з 153.126.03,,,,,,,,
Indiana,,Posey,Property Line,Meters,30.48,Posey County Zoning з 153.126.03,,,,,,,,
Indiana,,Posey,Height,Meters,7.62,Posey County Zoning з 153.126.03,,,,,,,,
Indiana,,Rush,Height,Meters,6.096,Rush County Zoning Ordinance Amendment 6.4,,,,,,,,
Indiana,,Rush,Property Line,Maximum Structure Height Multiplier,10,Rush County Zoning Ordinance Amendment 6.4,,,,,,,,
Indiana,,Saint Joseph ,Height,Meters,6.7,Saint Joseph County Zoning Ordinance з  154.515,,,,,,,,
Indiana,,Starke ,Height,Meters,10.67,Starke County Ordinance # 6-19-1: Commercial Solar Enegry Systems ,,,,,,,,
Indiana,,Starke ,Property Line,Meters,15.24,Starke County Ordinance # 6-19-1: Commercial Solar Enegry Systems ,,,,,,,,
Indiana,,Starke ,Roads,Meters,30.48,Starke County Ordinance # 6-19-1: Commercial Solar Enegry Systems ,,,,,,,,
Indiana,,Starke ,Structures,Meters,60.96,Starke County Ordinance # 6-19-1: Commercial Solar Enegry Systems ,,,,,,,,
Indiana,,Starke ,Sound,dBA,55,Starke County Ordinance # 6-19-1: Commercial Solar Enegry Systems ,,,,,,,,
Indiana,,Vermillion ,Height,Meters,7.62,Vermillion Sounty COmmercial Solar Energy Ordinance ,,,,,,,,
Indiana,,Vermillion ,Property Line,Meters,30.48,Vermillion Sounty COmmercial Solar Energy Ordinance ,,,,,,,,
Indiana,,Vermillion ,Structures,Meters,60.96,Vermillion Sounty COmmercial Solar Energy Ordinance ,,,,,,,,
Indiana,,Vermillion ,Minimum Lot Size,Acres,5,Vermillion Sounty COmmercial Solar Energy Ordinance ,,,,,,,,
Indiana,,Vermillion ,Sound,dBA,50,Vermillion Sounty COmmercial Solar Energy Ordinance ,,,,,,,,
Indiana,,Warren,Minimum Lot Size,Acres,5,Warren County Ordinance # 2020-1116,,,,,,,,
Indiana,,Warren,Height,Meters,7.62,Warren County Ordinance # 2020-1116,,,,,,,,
Indiana,,Warren,Sound,dBA,45,Warren County Ordinance # 2020-1116,,,,,,,,
Indiana,,Warren,Structures,Meters,152.4,Warren County Ordinance # 2020-1116,,,,,,,,
Indiana,,White,Minimum Lot Size,Acres,5,White County Zoning Ordinance 7.15,,,,,,,,
Indiana,,White,Height,Meters,3.04,White County Zoning Ordinance 7.15,,,,,,,,
Indiana,,White,Property Line,Meters,30.48,White County Zoning Ordinance 7.15,,,,,,,,
Indiana,,White,Sound,dBA,65,White County Zoning Ordinance 7.15,,,,,,,,
Iowa,,Adair,Total Installation,Acres,400,Adair County Ord. 38 з 2,Cap of 400 total developed acres for solar in the county ,,,,,2022,,
Iowa,,Adair,Property Line,Meters,76.2,Adair County Ord. 38 з 4,,,,,,2021,,
Iowa,,Adair,Structures,Meters,304,Adair County Ord. 38 з 4,1000' setback from occupied residences,,,,,2021,,
Iowa,,Adair,Roads,Meters,15.24,Adair County Ord. 38 з 4,50' setback from road,,,,,2021,,
Iowa,,Buchanan,Height,Meters,4.5,Buchanan County Zoning Ord. з (VII)(Y)(4),,,,,,2021,,
Iowa,,Buchanan,Property Line,Meters,3.04,Buchanan County Zoning Ord. з (VII)(Y)(4),10' setback,,,,,2021,,
Iowa,,Mills,Height,Meters,4.5,Mills County Zoning Ord. з 27.12.3(c),,,,,,2021,,
Iowa,,Mills,Property Line,Meters,15.24,Mills County Zoning Ord. з 27.12.3(c),,,,,,2021,,
Iowa,,Mills,Structures,Meters,91.44,Mills County Zoning Ord. з 27.12.3(c),,,,,,2021,,
Iowa,,Mills,Roads,Meters,15.24,Mills County Zoning Ord. з 27.12.3(c),,,,,,2021,,
Iowa,,Mills,Highway,Meters,24.38,Mills County Zoning Ord. з 27.12.3(c),80' setback to highways ,,,,,2021,,
Iowa,,Mills,Noise,dBa,50,Mills County Zoning Ord. з 27.12.3(c),,,,,,2021,,
Iowa,,Monona,Height,Meters,6,Monona County Zoning Ord з 100.36.7,,,,,,2021,,
Iowa,,Story,Property Line,Maximum Structure Height,1.1,Story County Code Ords. з 90.08.8,,,,,,2021,,
Iowa,,Story,Structures,Meters,30.48,Story County Code Ords. з 90.08.8,,,,,,2021,,
Iowa,,Union,Total Installation,Acres,800,Union County Ord. 74 з 2 ,Cap of 800 total developed acres for solar in the county ,,,,,2021,,
Iowa,,Union,Structures,Meters,91.44,Union County Ord. 74 з 2 ,,,,,,2021,,
Iowa,,Union,Property Line,Meters,30.48,Union County Ord. 74 з 2 ,,,,,,2021,,
Iowa,,Union,Roads,Meters,22.86,Union County Ord. 74 з 2 ,,,,,,2021,,
Iowa ,,Winneshiek,Height,Meters,6,Winneshiek County Code з 714.5,,,,,,2021,,
Iowa,,Winneshiek,Property Line,Meters,15.24,Winneshiek County Code з 714.5,,,,,,2021,,
Iowa,,Winneshiek,Structures,Meters,60.96,Winneshiek County Code з 714.5,,,,,,2021,,
Iowa,,Winneshiek,Roads,Meters,18.2,Winneshiek County Code з 714.5,,,,,,2021,,
Iowa,,Winneshiek,Highway,Meters,24.38,Winneshiek County Code з 714.5,,,,,,2021,,
Kansas,,Finney,Property Line,Meters,15.24,Finney County Zoning Ordinance,,,,,,,,
Kansas,,Finney,Height,Meters,6.096,Finney County Zoning Ordinance,,,,,,,,
Kansas,,Franklin,Height,Meters,10.67,Franklin County Zoning Regulations  Sec. 3-3,,,,,,,,
Kansas,,Franklin,Property Line,Meters,12.19,Franklin County Zoning Regulations  Sec. 3-3,,,,,,,,
Kansas,,Franklin,Roads,Meters,12.19,Franklin County Zoning Regulations  Sec. 3-3,,,,,,,,
Kansas,,Franklin,Structures,Meters,76.2,Franklin County Zoning Regulations  Sec. 3-3,,,,,,,,
Kansas,,Leavenworth,Height,Meters,10.67,Leavenworth County Zoning Ordinance,,,,,,,,
Kansas,,Leavenworth,Property Line,Meters,12.19,Leavenworth County Zoning Ordinance,,,,,,,,
Kansas,,Leavenworth,Roads,Meters,12.19,Leavenworth County Zoning Ordinance,,,,,,,,
Kansas,,Meade,Height,Meters,7.62,Meade County Ordinance-2021-005,,,,,,,,
Kansas,,Meade,Property Line,Meters,15.24,Meade County Ordinance-2021-005,,,,,,,,
Kansas,,Meade,Structures,Meters,76.2,Meade County Ordinance-2021-005,,,,,,,,
Kansas,,Meade,Maximum Lot Size,Acres,1200,Meade County Ordinance-2021-005,,,,,,,,
Kansas,,Sedgwick,Height,Meters,10.67,Sedgwick County Zoning ,,,,,,,,
Kansas,,Sedgwick,Property Line,Meters,12.19,Sedgwick County Zoning ,,,,,,,,
Kansas,,Sedgwick,Roads,Meters,12.19,Sedgwick County Zoning ,,,,,,,,
Kentucky,,Henderson ,Height,Meters,7.62,Henderson County Zoning Ord. з 30.02,,,,,,2021,,
Kentucky,,Henderson ,Property Line,Meters,7.62,Henderson County Zoning Ord. з 30.02,,,,,,2021,,
Kentucky,,Henderson ,Structures,Meters,30.48,Henderson County Zoning Ord. з 30.02,,,,,,2021,,
Kentucky,,Meade,Total Installation,Acres,2000,Meade County Zoning Regs. з 4.3.7.3,,,,,,,,
Kentucky,,Meade,Maximum Lot Size,Acres,5,Meade County Zoning Regs. за4.3.7.2.b,,,,,,2021,,
Kentucky,,Meade,Height,Meters,7.62,Meade County Zoning Regs. з 4.3.7.3,,,,,,2021,,
Kentucky,,Meade,Property Line,Meters,76.2,Meade County Zoning Regs. з 4.3.7.3(c),,,,,,2021,,
Kentucky,,Simpson,Height,Meters,4.5,Simpson County Zoning Regs. з 9.8,,,,,,2021,,
Kentucky,,Simpson,Roads,Meters,15.24,Simpson County Zoning Regs. з 9.8,,,,,,2021,,
Kentucky,,Simpson,Structures,Meters,76.2,Simpson County Zoning Regs. з 9.8,,,,,,2021,,
Maryland ,,Allegany,Property Line,Meters,9.14,Allegany County Zoning sec. 360-109,,,,,,,,
Maryland ,,Baltimore,Property Line,Meters,15.24,BALTIMORE COUNTY ZONING REGULATIONS ARTICLE 4F - SOLAR FACILITIES,,,,,,,,
Maryland ,,Baltimore,Height,Meters,6.096,BALTIMORE COUNTY ZONING REGULATIONS ARTICLE 4F - SOLAR FACILITIES,,,,,,,,
Maryland ,,Caroline ,Maximum Lot Size,Acres,2000,Caroline County Ordinance #2017-2,,,,,,,,
Maryland ,,Caroline ,Structures,Meters,60.96,Caroline County Ordinance #2017-2,,,,,,,,
Maryland ,,Caroline ,Property Line,Meters,7.62,Caroline County Ordinance #2017-2,,,,,,,,
Maryland ,,Caroline ,Height,Meters,4.57,Caroline County Ordinance #2017-2,,,,,,,,
Maryland ,,Cecil,Minimum lot Size,Acres,50,Cecil County Zoning Code ,,,,,,,,
Maryland ,,Charles ,Height,Meters,7.62,Charles County Zoning Code Chapt. 297,,,,,,,,
Maryland ,,Charles ,Property Line,Meters,15.24,Charles County Zoning Code Chapt. 297,,,,,,,,
Maryland ,,Dorchester,Mimimum Lot Size,Acres,25,Dorchester County Zoning Ch. 155,,,,,,,,
Maryland ,,Dorchester,Height,Meter,13.72,Dorchester County Zoning Ch. 155,,,,,,,,
Maryland ,,Fredrick ,Minimum Lot Size,Acres,0.46,Frederick County Zoning Code з1-19-6.100,,,,,,,,
Maryland ,,Fredrick ,Property Line,Meters,15.24,Frederick County Zoning Code з1-19-6.100,,,,,,,,
Maryland ,,Fredrick ,Height,Meters,9.14,Frederick County Zoning Code з1-19-6.100,,,,,,,,
Maryland ,,Howard,Minimum Lot Size,Acres,10,Howard County Code Sec. 131,,,,,,,,
Maryland ,,Howard,Maximum Lot Size,Acres,75,Howard County Code Sec. 131,,,,,,,,
Maryland ,,Howard,Property Line,Meters,15.24,Howard County Code Sec. 131,,,,,,,,
Maryland ,,Howard,Height,Meters,6.096,Howard County Code Sec. 131,,,,,,,,
Maryland ,,Queen Annes,Property Line,Meters,22.86,Queen AnneТs County Cod з 18:1-15,,,,,,,,
Maryland ,,Queen Annes,Roads,Meters,30.48,Queen AnneТs County Cod з 18:1-15,,,,,,,,
Maryland ,,Somerset,Total Installation,Acres,1800,Somerset County Zoning Ordinance,,,,,,,,
Maryland ,,Somerset,U.S. Route 13,Meters,457.2,Somerset County Zoning Ordinance,,,,,,,,
Maryland ,,Somerset,M.D. Route 413,Meters,457.2,Somerset County Zoning Ordinance,,,,,,,,
Maryland ,,Somerset,Property Line,Meters,22.86,Somerset County Zoning Ordinance,,,,,,,,
Maryland ,,Somerset,Roads,Meters,182.88,Somerset County Zoning Ordinance,,,,,,,,
Maryland ,,Somerset,Structures,Meters,182.88,Somerset County Zoning Ordinance,,,,,,,,
Maryland ,,Worcester,Minimum Lot Size,Acres,50,Worcester County Code ,,,,,,,,
Michigan,,Clinton,Height,Meters,4.88,4.48 Solar farms,,,,,,,,
Michigan,,Clinton,Property Line,Meters,7.62,4.48 Solar farms,,,,,,,,
Michigan,,Clinton,Roads,Meters,15.24,4.48 Solar farms,,,,,,,,
Michigan,,Clinton,Sounds,dBA,60,4.48 Solar farms,,,,,,,,
Michigan,,Eaton,Height,Meters,4.8768,SECTION 14.39 SOLAR ENERGY SYSTEM,,,,,,,,
Michigan,,Eaton,Property Line,Meters,30.48,SECTION 14.39 SOLAR ENERGY SYSTEM,,,,,,,,
Michigan,,Eaton,Roads,Meters,30.48,SECTION 14.39 SOLAR ENERGY SYSTEM,,,,,,,,
Michigan,,Gladwind,Property Line,Meters,15.24,SECTION 7.26 ALTERNATIVE ENERGY FARMS ,,,,,,,,
Michigan,,Gladwind,Structures,Meters,15.24,SECTION 7.26 ALTERNATIVE ENERGY FARMS ,,,,,,,,
Michigan,,Gladwind,Height,Meters,9.144,SECTION 7.26 ALTERNATIVE ENERGY FARMS ,,,,,,,,
Michigan,,Ogemaw,Roads,Meters,15.24,FF. Solar Energy Farms ,,,,,,,,
Michigan,,Ogemaw,Minimum Lot Size ,Acres,5,FF. Solar Energy Farms ,,,,,,,,
Michigan,,Presque Isle,Property line,Meters,15.24,Presque Isle Ordinance 2018-02,,,,,,,,
Minnesota,,Blue Earth ,Structures,Meters,228.6,Blue Earth County Zoning Ord. з 24-334(c)(13),,,,,,2021,,
Minnesota,,Blue Earth ,Property Line,Meters,15.24,Blue Earth County Zoning Ord. з 24-334(c)(13),,,,,,2021,,
Minnesota,,Blue Earth ,Roads,Meters,45.72,Blue Earth County Zoning Ord. з 24-334(c)(13),,,,,,2021,,
Minnesota,,Blue Earth ,Highway,Meters,30.48,Blue Earth County Zoning Ord. з 24-334(c)(13),,,,,,2021,,
Minnesota,,Blue Earth ,Height,Meters,6,Blue Earth County Zoning Ord. з 24-334(b)(1),,,,,,2021,,
Minnesota,,Carlton,Structures,Meters,60.96,Carlton County Renewable Energy Ord. 32 з 3(b)(2)(D),200' setback from residential structures ,,,,,2021,,
Minnesota,,Carver,Structures,Meters,152.4,Carver County Zoning Ord. з 152.057(C)(2),,,,,,2021,,
Minnesota,,Carver,Roads,Meters,15.24,Carver County Zoning Ord. з 152.057(C)(2),,,,,,2021,,
Minnesota,,Carver,Property Line,Meters,15.24,Carver County Zoning Ord. з 152.057(C)(2),,,,,,2021,,
Minnesota,,Cass,Property Line,Meters,15.24,Cass County Land Use Ord. 2020-02 з 1109.4,50' setback that includes a vegetated buffer,,,,,2021,,
Minnesota,,Chisago,Property Line,Meters,22.86,Chisago Land Use Ord. з 7.31(F),,,,,,2021,,
Minnesota,,Chisago,Structures,Meters,76.2,Chisago Land Use Ord. з 7.31(F),,,,,,2021,,
Minnesota,,Chisago,Roads,Meters,41.48,Chisago Land Use Ord. з 7.31(F),135' Setback,,,,,2021,,
Minnesota,,Clay,Height,Meters,4.5,Clay County Renewable Energy Ord. 2018-02 з 10.1.1,,,,,,2021,,
Minnesota,,Clay,Property Line,Meters,30.48,Clay County Renewable Energy Ord. 2018-02 з 10.1.1,,,,,,2021,,
Minnesota,,Clearwater,Property Line,Meters,30.48,Clearwater County Renewable Energy Ord. з 5.30,,,,,,2021,,
Minnesota,,Clearwater,Roads,Meters,30.48,Clearwater County Renewable Energy Ord. з 5.30,,,,,,2021,,
Minnesota,,Clearwater,Structures,Meters,91.44,Clearwater County Renewable Energy Ord. з 5.30,300' setback to residences/dwellings ,,,,,2021,,
Minnesota,,Cottonwood ,Height,Meters,4.5,Cottonwood County Renewable Energy Ord. з 25.6B,,,,,,2021,,
Minnesota,,Jackson,Property Line,Meters,45.72,Jackson County Dev. Code з 735.41,,,,,,2021,,
Minnesota,,Jackson,Roads,Meters,60.96,Jackson County Dev. Code з 735.41,,,,,,2021,,
Minnesota,,Lyon,Property Line,Meters,7.62,Lyon County Zoning Ord. з 21.6,,,,,,2021,,
Minnesota,,Lyon,Structures,Meters,60.96,Lyon County Zoning Ord. з 21.6,,,,,,2021,,
Minnesota,,Lyon,Roads,Meters,7.62,Lyon County Zoning Ord. з 21.6,,,,,,2021,,
Minnesota,,Mower,Property Line,Meters,30.48,Mower County Zoning Ord. з 14-18.7,,,,,,2021,,
Minnesota,,Mower,Structures,Meters,152.4,Mower County Zoning Ord. з 14-18.7,,,,,,2021,,
Minnesota,,Murray,Structures,Meters,60.96,Murray County Renewable Energy Ord. з 901.2,,,,,,2021,,
Minnesota,,Murray,Roads,Meters,30.48,Murray County Renewable Energy Ord. з 901.2,,,,,,2021,,
Minnesota,,Otter Tail ,Structures,Meters,60.96,Otter Tail County Renewable Energy Ord. з 5.1,,,,,,2021,,
Minnesota,,Otter Tail ,Roads,Meters,30.48,Otter Tail County Renewable Energy Ord. з 5.1,,,,,,2021,,
Minnesota,,Pine,Structures,Meters,83.82,Pine County Zoning Ord. з 4.9.1,275' setback to dwellings,,,,,2021,,
Minnesota,,Pine,Roads,Meters,30.48,Pine County Zoning Ord. з 4.9.1,,,,,,2021,,
Minnesota,,Pine,Property Line,Meters,15.24,Pine County Zoning Ord. з 4.9.1,,,,,,2021,,
Minnesota,,Pipestone ,Structures,Meters,45.72,Pipestone County Zoning Ord. з 5-11(D),,,,,,2018,,
Minnesota,,Polk,Structures,Meters,91.44,Polk County Zoning Ord. з 23.7400,,,,,,2018,,
Minnesota,,Polk,Roads,Meters,30.48,Polk County Zoning Ord. з 23.7400,,,,,,2018,,
Minnesota,,Polk,Property Line,Meters,30.48,Polk County Zoning Ord. з 23.7400,,,,,,2018,,
Minnesota,,Pope,Structures,Meters,60.96,Pope County Land Use Controls Ord. з 10.12(C),,,,,,2018,,
Minnesota,,Pope,Roads,Meters,76.2,Pope County Land Use Controls Ord. з 10.12(C),250' setback to roads ,,,,,2018,,
Minnesota,,Pope,Highway,Meters,152.4,Pope County Land Use Controls Ord. з 10.12(C),,,,,,2018,,
Minnesota,,Pope,Height,Meters,7.62,Pope County Land Use Controls Ord. з 10.12(C),,,,,,2018,,
Minnesota,,Renville,Structures,Meters,60.96,Renville County Renewable Energy Regs. з 2.3.1,,,,,,2018,,
Minnesota,,Renville,Roads,Meters,20.42,Renville County Renewable Energy Regs. з 2.3.1,67' setback,,,,,2018,,
Minnesota,,Renville,Property Line,Meters,6,Renville County Renewable Energy Regs. з 2.3.1,,,,,,2018,,
Minnesota,,Sibley,Structures,Meters,45.72,Sibley County Zoning Ord. з 300.14.21.8.2.,,,,,,2018,,
Minnesota,,Sibley,Height,Meters,10.66,Sibley County Zoning Ord. з 300.14.21.8.2.,,,,,,2018,,
Minnesota,,Stearns ,Structures,Meters,60.96,Stearns County Zoning Ord. з 6.54.1,,,,,,2018,,
Minnesota,,Stearns ,Property Line,Meters,15.24,Stearns County Zoning Ord. з 6.54.1,,,,,,2018,,
Minnesota,,Stevens,Structures,Meters,60.96,Stevens County Zoning Ord. з 14(P),,,,,,2018,,
Minnesota,,Wadena,Structures,Meters,91.44,Wadena County Zoning Ord. з 19(B)(4),,,,,,2018,,
Minnesota,,Wadena,Roads,Meters,30.48,Wadena County Zoning Ord. з 19(B)(4),,,,,,2018,,
Minnesota,,Wadena,Property Line,Meters,30.48,Wadena County Zoning Ord. з 19(B)(4),,,,,,2018,,
Minnesota,,Watonwan,Structures,Meters,45.72,Watonwan County Solar Ord. з 5(A)(1),,,,,,2018,,
Minnesota,,Watonwan,Highway,Meters,53.34,Watonwan County Solar Ord. з 5(A)(1),175' Setback,,,,,2018,,
Minnesota,,Watonwan,Roads,Meters,40.5,Watonwan County Solar Ord. з 5(A)(1),133' Setback,,,,,2018,,
Minnesota,,Wright ,Moratorium ,N/A,,Wright County Amendment Ord. 21-1,"Moratorium on Commercial Solar as of May 18, 2021",,,,,2018,,
Missouri,,Lafayette,Minimum Lot Size ,Acres,10,Lafayette Land Dev. Code з 5.15.3,,,,,2016,2018,,
Missouri,,Lafayette,Height,Meters,4.5,Lafayette Land Dev. Code з 5.15.3,,,,,2016,2018,,
Missouri,,Warren,Structures,Meters,60.96,Warren County Dev. Code Appdx D. з 4(A)(2),,,,,2020,2018,,
Nebraska,,Cass,Property Line,Meters,9.144,Cass County Zoning Regs. з 8.21.05,30' setback,,,,2021,2018,,
Nebraska,,Cass,Height,Meters,7.62,Cass County Zoning Regs. з 8.21.05,,,,,2021,2018,,
Nebraska,,Cuming ,Property Line,Meters,9.144,Cuming County Zoning Regs. з 8.23.05,,,,,2017,2018,,
Nebraska,,Cuming ,Height,Meters,3.65,Cuming County Zoning Regs. з 8.23.05,,,,,2017,2018,,
Nebraska,,Dawson,Property Line,Meters,9.144,Dawson County Zoning Regs. з 6.09.05,,,,,2019,2018,,
Nebraska,,Dawson,Height,Meters,3.65,Dawson County Zoning Regs. з 6.09.05,,,,,2019,2018,,
Nebraska,,Fillmore,Property Line,Meters,9.144,Fillmore County Zoning Regs. з 9.24.06,,,,,2013,2018,,
Nebraska,,Fillmore,Height,Meters,4.57,Fillmore County Zoning Regs. з 9.24.06,,,,,2013,2018,,
Nebraska,,Hamilton,Property Line,Meters,9.144,Hamilton County Zoning Regs. з 8.09.06,,,,,2019,2018,,
Nebraska,,Hamilton,Height,Meters,3.65,Hamilton County Zoning Regs. з 8.09.06,,,,,2019,2018,,
Nebraska,,Kearney,Property Line,Meters,45.72,Kearney County Zoning Regs. з 7.42.12,150' setback,,,,2018,2018,,
Nebraska,,Kearney,Structures,Meters,402.33,Kearney County Zoning Regs. з 7.42.12,1320' setback to offsite residences,,,,2018,2018,,
Nebraska,,Kearney,Roads,Meters,45.72,Kearney County Zoning Regs. з 7.42.12,,,,,2018,2018,,
Nebraska,,Kearney,Wetlands,Meters,402.33,Kearney County Zoning Regs. з 7.42.12,"1320' Setback to USFW designated type III, IV, or V wetlands",,,,2020,2018,,
Nebraska,,Kimball,Property Line,Meters,15.24,Kimball County Zoning Regs. з 20.04.4,,,,,2020,2018,,
Nebraska,,Kimball,Structures,Meters,30.48,Kimball County Zoning Regs. з 20.04.4,,,,,2020,2018,,
Nebraska,,Madison ,Property Line,Meters,9.144,Madison County Zoning Regs. з 603(C),,,,,,2018,,
Nebraska,,Madison ,Roads,Meters,25.94,Madison County Zoning Regs. з 603(C),83' setback to centerline of roads ,,,,,2018,,
Nebraska,,Madison ,Height ,Meters,60.96,Madison County Zoning Regs. з 603(C),,,,,,2018,,
Nebraska,,Pierce,Property Line,Meters,9.144,Pierce County Zoning Regs. з 6.04.01,,,,,,2018,,
Nebraska,,Pierce,Roads,Meters,25.94,Pierce County Zoning Regs. з 6.04.01,83' setback to centerline of roads ,,,,,2018,,
Nebraska,,Pierce,Height ,Meters,60.96,Pierce County Zoning Regs. з 6.04.01,,,,,,2018,,
Nebraska,,Saunders,Property Line,Meters,9.144,Saunders County Zoning Regs. з 9.14.05,,,,,,2018,,
Nebraska,,Saunders,Height,Meters,7.62,Saunders County Zoning Regs. з 9.14.05,,,,,,2018,,
Nevada,,Lyon,Minimum lot size,Acres,10,15.336.09 Solar Generation,,,,,,,,
Nevada,,Lyon,Property Line,Meters,9.144,15.336.09 Solar Generation,,,,,,,,
Nevada,,Lyon,Height,Meters,7.3152,15.336.09 Solar Generation,,,,,,,,
New Jersey,,Cape May,Property Line,Meters,6.096,Ordinance 421-09,Used Burrough of West Cape May Std.,,,,,,,
New Jersey,,Cape May,Height,Meters,4.572,Ordinance 421-09,,,,,,,,
New York,Bath,Steuben,Maximum Lot Size ,Acres,150,Bath Town Code з 101-8 ,,,,,2020,,,
New York,Bath,Steuben,Height,Meters,3.04,Bath Town Code з 101-8 ,10' max height ,,,,2020,,,
New York,Bath,Steuben,Property Line,Meters,60.96,Bath Town Code з 101-8 ,200' setback to adjacent property lines if residential ,,,,2020,,,
New York,Bath,Steuben,Roads,Meters,30.48,Bath Town Code з 101-8 ,,,,,2020,,,
New York,Brookhaven,,Minimum Lot Size ,Acres,5,Brookhaven Town Code з 85-813(b),,,,,2016,,,
New York,Brookhaven,,Height,Meters,6.09,Brookhaven Town Code з 85-813(b),20' Max height ,,,,2016,,,
New York,Brookhaven,,Structures,Meters,30.48,Brookhaven Town Code з 85-813(b),,,,,2016,,,
New York,Dryden,,Height,Meters,6.09,Dryden Town Code з 270-13.12(F),20' Max height ,,,,2017,,,
New York,Goshen,Orange,Minimum Lot Size,Acres,10,Goshen Local Law No. 4 (2016) з 2,,,,,2016,,,
New York,Goshen,Orange,Property Line,Meters,30.48,Goshen Local Law No. 4 (2016) з 2,,,,,2016,,,
New York,Goshen,Orange,Roads,Meters,30.48,Goshen Local Law No. 4 (2016) з 2,,,,,2016,,,
New York,Greece,,Property Lines,Meters,7.62,Greece Town Code з 211-61,,,,,,,,
New York,Johnstown ,,Minimum Lot Size,Acres,10,Johnstown Local Law 1-2015,,,,,2015,,,
New York,Johnstown ,,Maximum Lot Coverage,Percentage,80,Johnstown Local Law 1-2015,,,,,2015,,,
New York,Johnstown ,,Property Line,Meters,15.24,Johnstown Local Law 1-2015,,,,,2015,,,
New York,Johnstown ,,Structures,Meters,60.96,Johnstown Local Law 1-2015,200' to residential structures ,,,,2015,,,
New York,Lenox,,Minimum Lot Size,Acres,15,Lenox Town Code з 134-152.9,,,,,2017,,,
New York,Lenox,,Property Line,Meters,30.48,Lenox Town Code з 134-152.9,100' rear and side setbacks,,,,2017,,,
New York,Lenox,,Property Line,Meters,76.2,Lenox Town Code з 134-152.9,250' front setback,,,,2017,,,
New York,Montgomery,,Maximum Lot Coverage,Percentage,40,Montgomery Local Law 6-2019,,,,,2019,,,
