State,City/Town,County,Feature Type,Value Type,Value,Citation,Comment,Updated Type,Updated Value,Updated Comment,Ordinance Year,Original Captured Date,New Capture Date,Update Status
Colorado,,Pueblo,Structures,Meters,152.4,Pueblo County Zoning з 17.168.050 ,,,,,,,,
Colorado,,San Miguel,Minimum Lot Size,Acres,35,San Miguel County Land Use Code  з III (g),,,,,,,,
Colorado,,San Miguel,Property Line,Meters,60.96,San Miguel County Land Use Code  з III (g),,,,,,,,
Colorado,,Washington,Moratorium,N/a,,Washington County Resolution 64-2020,,,,,,,,
Delaware ,,New Castle,Structures,Meters,45.72,New Castle County з 40.03.312,,,,,,,,
Delaware ,,New Castle,Property Line,Meters,15.24,New Castle County з 40.03.312,,,,,,,,
Florida ,,Clay ,Property Line,Meters,7.62,Clay County Land Development Code з 3-2(bo),25' Setbacks if not adjacent to residential zones ,,,,,2021,,
Florida ,,Clay ,Property Line,Meters,30.48,Clay County Land Development Code з 3-2(bo),100' setback if adjacent to residential zone ,,,,,2021,,
Florida ,,Columbia,Property Line,Meters,15.24,Columbia County Land Development Regs. з 4.2.41,50' setbacks ,,,,,2021,,
Florida ,,Gadsen,Property Line,Meters,15.24,Gadsen County Land Development Code за5204(D) ,50' setbacks  ,,,,,2021,,
Florida ,,Gadsen,Roads,Meters,30.48,Gadsen County Land Development Code з 5204(D) ,100' setbacks from public ROW ,,,,,2021,,
Florida ,,Gadsen,Height ,Meters,4.5,Gadsen County Land Development Code з 5204(D) ,15' Max height ,,,,,2021,,
Florida ,,Gilchrist ,Property Line,Meters,30.48,Gilchrist County Land Dev. Code з 7.26 ,100' setback,,,,,2021,,
Florida ,,Gilchrist ,Height ,Meters,4.5,Gilchrist County Land Dev. Code з 7.26 ,15' max height ,,,,,2021,,
Florida ,,Hillsborough ,Property Line,Meters,15.24,Hillsborough Land Development Code з 6.11.125,50' Setback if zoned in agriculture ,,,,,2021,,
Florida ,,Hillsborough ,Height ,Meters,4.5,Hillsborough Land Development Code з 6.11.125,15' max height in agricultural zone ,,,,,2021,,
