Company,"City, State",City,State,LAT,LON,Project Type,Category,Technology,Source,Source for table,Project Size (text),Project Size ($),Total Jobs Expected,Facility Jobs,Construction Jobs,Grants,Loans,Status
Akash Systems,"West Oakland, CA",West Oakland,CA,37.8048919,-122.2951752,New Facility,Semiconductors,"Diamond cooling substrates, devices, and systems",https://www.nist.gov/chips/akash-systems-california-west-oakland,[Source](https://www.nist.gov/chips/akash-systems-california-west-oakland),$121 million,"$121,000,000 ",400,Not Available,Not Available,$18.2 million,N/A,PMT (Nov. 13)
Applied Materials,"Sunnyvale, CA",Sunnyvale,CA,37.3688301,-122.036349,New Facility,R&D Facility,,https://ir.appliedmaterials.com/news-releases/news-release-details/applied-materials-launches-multibillion-dollar-rd-platform,[Source](https://ir.appliedmaterials.com/news-releases/news-release-details/applied-materials-launches-multibillion-dollar-rd-platform),$4 billion,"$4,000,000,000 ",2000,2000,,,,
ASML,"San Diego, CA",San Diego,CA,33.0187,-117.1006,Expansion,Equipment,,ASML,ASML,Not Available,Not Available,Not Available,Not Available,Not Available,,,
Bosch,"Roseville, CA",Roseville,CA,38.7521235,-121.2880059,Expansion/Modernization,Semiconductors,200mm silicon carbide,https://www.nist.gov/chips/bosch-california-roseville,[Source](https://www.nist.gov/chips/bosch-california-roseville),$1.9 billion,"$1,900,000,000 ",1700,700,1000,$225 million,$350 million,PMT (Dec. 13)
Infinera,"San Jose/Sunnyvale, CA",San Jose/Sunnyvale,CA,37.5688301,-122.236349,Expansion,Semiconductors,,https://www.gov.ca.gov/2023/11/17/california-invests-149-million-in-cutting-edge-companies-creating-nearly-6000-jobs/,[Source](https://www.gov.ca.gov/2023/11/17/california-invests-149-million-in-cutting-edge-companies-creating-nearly-6000-jobs/),$180 million,"$180,000,000 ",250,250,,,,
Infinera,"San Jose, CA",San Jose,CA,37.3361663,-121.890591,New Facility,Semiconductors,Indium Phosphide photonic integrated circuits,https://www.nist.gov/chips/infinera-california-san-jose,[Source](https://www.nist.gov/chips/infinera-california-san-jose),Not Available,Not Available,1700 across 2 locations,500 across 2 locations,1200 across 2 locations,$93 million across 2 locations,N/A,"Final Award (Jan. 17, 2025)"
Western Digital,"Fremont, CA",Fremont,CA,37.5482697,-121.988571,Expansion,Semiconductors,,Western Digital,Western Digital,$350 million,"$350,000,000 ",240,240,,,,
Broadcom,"Fort Collins, CO",Fort Collins,CO,40.5508527,-105.0668085,Expansion,Semiconductors,,https://www.coloradoan.com/story/money/business/2023/09/08/broadcom-seeks-piece-of-50-billion-federal-chips-incentive-for-fort-collins-plant/70784489007/,[Source](https://www.coloradoan.com/story/money/business/2023/09/08/broadcom-seeks-piece-of-50-billion-federal-chips-incentive-for-fort-collins-plant/70784489007/),Not Available,Not Available,Not Available,,,,,
Entegris,"Colorado Springs, CO",Colorado Springs,CO,38.5339578,-104.525348,New Facility,Equipment,"FOUPs, liquid filter membranes, advanced liquid filters and purifiers, and fluid handling solutions",https://www.nist.gov/chips/entegris-colorado-colorado-springs,[Source](https://www.nist.gov/chips/entegris-colorado-colorado-springs),$722 million,"$722,000,000 ",900,600,300,$77 million,N/A,"Final Award (Dec. 5, 2024)"
Microchip Technology,"Colorado Springs, CO",Colorado Springs,CO,38.8339578,-104.825348,Expansion/Modernization,Semiconductors,Microcontrollers and speciality mature-node semiconductors ,https://www.nist.gov/chips/microchip-technology-inc-colorado-colorado-springs,[Source](https://www.nist.gov/chips/microchip-technology-inc-colorado-colorado-springs),Not Available,Not Available,700 across 2 locations,Not Available,Not Available,$90 million,N/A,PMT (Jan. 4)
ASML,"Wilton, CT",Wilton,CT,41.1953739,-73.4378988,Expansion,Equipment,,https://www.ctinsider.com/business/article/Connecticut-company-promises-1-000-news-with-200-17436372.php,[Source](https://www.ctinsider.com/business/article/Connecticut-company-promises-1-000-news-with-200-17436372.php),$200 million,"$200,000,000 ",1000,1000,,,,
DuPont,"Glasgow, DE",Glasgow,DE,39.6048338,-75.7452119,New Facility,Materials,,https://www.choosedelaware.com/press-releases/dupont-expanding-semiconductor-manufacturing-in-newark-delaware/,[Source](https://www.choosedelaware.com/press-releases/dupont-expanding-semiconductor-manufacturing-in-newark-delaware/),$50 million,"$50,000,000 ",10,10,,,,
Rogue Valley Microdevices,"Palm Bay, FL",Palm Bay,FL,27.9946969,-80.6366144,New Facility,Semiconductors,Microelectromechanical systems (MEMS) and sensor,https://www.nist.gov/chips/rogue-valley-microdevices-florida-palm-bay,[Source](https://www.nist.gov/chips/rogue-valley-microdevices-florida-palm-bay),$25 million,"$25,000,000 ",75,Not Available,Not Available,$6.7 million,N/A,PMT (July 1)
