"Manufacturing, industrial, and energy facility metadata"

version:,2025_Q4.20260109.0
created:,Fri Jan  9 12:47:14 2026 (PST)
unique_id,Segment,Company,Technology,Subcategory,Decarb_Sector,Project_Type,Current_Facility_Status,Estimated_Total_Facility_CAPEX,Announcement_Date,State,Address,CD119_2024,CD119_2024_Name,US Senator 1: Name,US Senator 1: Party,US Senator 2: Name,US Senator 2: Party,US Representative Name,US Representative Party,county_2020_fips_code,county_2020_geoid,census_tract_2020_id,census_tract_2020_geoid,census_tract_2020_name,county_2010_fips_code,county_2010_geoid,census_tract_2010_id,census_tract_2010_geoid,census_tract_2010_name,census_2022_zip5,Latitude,Longitude,LatLon_Valid
M.B.BlueOval_TN_0,Manufacturing,BlueOvalSK (JV of Ford and SK On),Batteries,"Cells, Modules",Clean Tech Manufacturing,New,Under Construction,3118.56181,2021-09-27,TN,"Blue Oval City, Stanton, TN 38069",4708.0,TN-08,Marsha Blackburn,Republican,Bill Hagerty,Republican,David Kustoff,Republican,75.0,47075.0,930500.0,47075930500.0,Census Tract 9305,75.0,47075.0,930500.0,47075930500.0,Census Tract 9305,38069.0,35.402916,-89.417312,True
M.B.BlueOval_KY2_0,Manufacturing,BlueOvalSK (JV of Ford and SK On),Batteries,"Cells, Modules",Clean Tech Manufacturing,New,Under Construction,3229.939017,2021-09-27,KY,"1 BlueOval, Glendale, KY 42740",2102.0,KY-02,Mitch McConnell,Republican,Rand Paul,Republican,Brett Guthrie,Republican,93.0,21093.0,1603.0,21093001603.0,Census Tract 16.03,93.0,21093.0,1600.0,21093001600.0,Census Tract 16,42740.0,37.59489,-85.87652,True
M.B.BMW_SC_0,Manufacturing,BMW,Batteries,Modules,Clean Tech Manufacturing,New,Under Construction,714.552175,2023-06-27,SC,"BMW Manufacturing Battery Facility, SC-101, Woodruff, SC 29388",4504.0,SC-04,Lindsey Graham,Republican,Tim Scott,Republican,William Timmons,Republican,83.0,45083.0,23500.0,45083023500.0,Census Tract 235,83.0,45083.0,23500.0,45083023500.0,Census Tract 235,29388.0,34.75419,-82.05755,True
M.B.BMZ_VA_0,Manufacturing,BMZ USA Inc.,Batteries,"Cells, Modules",Clean Tech Manufacturing,Expansion,Operating,3.199193,2018-11-21,VA,"1429 Miller Store Rd., Virginia Beach, VA 23455",5102.0,VA-02,Tim Kaine,Democratic,Mark Warner,Democratic,Jennifer Kiggans,Republican,810.0,51810.0,40200.0,51810040200.0,Census Tract 402,810.0,51810.0,40200.0,51810040200.0,Census Tract 402,23455.0,36.8956,-76.1914,True
M.B.BorgWarner_MI_0,Manufacturing,BorgWarner,Batteries,Modules,Clean Tech Manufacturing,Expansion,Canceled prior to operation,2.551972,2023-04-19,MI,"23950 Mound Road, Suite 300, Warren, MI 48091",2610.0,MI-10,Gary Peters,Democratic,Elissa Slotkin,Democratic,John James,Republican,99.0,26099.0,982200.0,26099982200.0,Census Tract 9822,99.0,26099.0,982200.0,26099982200.0,Census Tract 9822,48091.0,42.471014,-83.042036,True
M.B.BorgWarner_SC_0,Manufacturing,BorgWarner,Batteries,Modules,Clean Tech Manufacturing,Expansion,Operating,42.873131,2023-04-19,SC,"15545 Wells Hwy, Seneca, SC 29678",4503.0,SC-03,Lindsey Graham,Republican,Tim Scott,Republican,Sheri Biggs,Republican,73.0,45073.0,30802.0,45073030802.0,Census Tract 308.02,73.0,45073.0,30800.0,45073030800.0,Census Tract 308,29678.0,34.66642,-82.98034,True
M.B.Cabot_TX_0,Manufacturing,Cabot Corp.,Batteries,EAM,Clean Tech Manufacturing,Expansion,Under Construction,84.163523,2023-01-26,TX,"8430 County Rd 3, Pampa, TX 79065",4813.0,TX-13,John Cornyn,Republican,Ted Cruz,Republican,Ronny L. Jackson,Republican,179.0,48179.0,950100.0,48179950100.0,Census Tract 9501,179.0,48179.0,950100.0,48179950100.0,Census Tract 9501,79065.0,35.510835,-101.033881,True
M.B.Camel_MI_0,Manufacturing,Camel Group,Batteries,"Cells, Modules",Clean Tech Manufacturing,New,Operating,20.802865,2022-08-08,MI,"4600 W. Dickman Rd, Battle Creek, MI 49037",2604.0,MI-04,Gary Peters,Democratic,Elissa Slotkin,Democratic,Bill Huizenga,Republican,25.0,26025.0,2600.0,26025002600.0,Census Tract 26,25.0,26025.0,2600.0,26025002600.0,Census Tract 26,49037.0,42.3358,-85.2695,True
M.B.Canoo_OK_0,Manufacturing,Canoo,Batteries,Modules,Clean Tech Manufacturing,New,Retired,179.934222,2021-06-17,OK,"4075 Sanders Mitchell St, Pryor Creek, OK 74361",4002.0,OK-02,James Lankford,Republican,Markwayne Mullin,Republican,Josh Brecheen,Republican,97.0,40097.0,40400.0,40097040400.0,Census Tract 404,97.0,40097.0,40400.0,40097040400.0,Census Tract 404,74361.0,36.247299,-95.289147,True
M.B.Capchem_OH_0,Manufacturing,Capchem,Batteries,EAM,Clean Tech Manufacturing,New,Under Construction,76.559162,2023-06-16,OH,"County Rd 1A, Hamilton 1A, Lawrence County, OH",3902.0,OH-02,Jon Husted,Republican,Bernie Moreno,Republican,David Taylor,Republican,87.0,39087.0,50700.0,39087050700.0,Census Tract 507,87.0,39087.0,50700.0,39087050700.0,Census Tract 507,45638.0,38.5698,-82.79229,True
